# Renewables.ninja Wind (Point API) - 53.135, -5.555 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068,,,,,,,,,,,,,
# Units: time in UTC, local_time in Europe/London, electricity in kW, wind_speed in m/s,,,,,,,,,,,
"# {""units"": {""time"": ""UTC"""," ""local_time"": ""Europe/London"""," ""electricity"": ""kW"""," ""wind_speed"": ""m/s""}"," ""params"": {""local_time"": true"," ""header"": true"," ""lat"": ""53.13479"""," ""lon"": ""-5.5548"""," ""date_from"": ""2019-01-01"""," ""date_to"": ""2019-12-31"""," ""dataset"": ""merra2"""," ""capacity"": ""1000"""," ""height"": ""140"""," ""turbine"": ""Vestas V164 7000"""," ""raw"": true}}"
time,local_time,electricity,wind_speed,,,,,,,,,,,
01/01/2019 00:00,01/01/2019 00:00,645.592,9.873,,,,,,,,,,,
01/01/2019 01:00,01/01/2019 01:00,631.988,9.76,,,,,,,,,,,
01/01/2019 02:00,01/01/2019 02:00,602.497,9.518,,,,,,,,,,,
01/01/2019 03:00,01/01/2019 03:00,598.141,9.483,,,,,,,,,,,
01/01/2019 04:00,01/01/2019 04:00,607.228,9.558,,,,,,,,,,,
01/01/2019 05:00,01/01/2019 05:00,576.367,9.314,,,,,,,,,,,
01/01/2019 06:00,01/01/2019 06:00,528.737,8.95,,,,,,,,,,,
01/01/2019 07:00,01/01/2019 07:00,480.642,8.592,,,,,,,,,,,
01/01/2019 08:00,01/01/2019 08:00,469.979,8.507,,,,,,,,,,,
01/01/2019 09:00,01/01/2019 09:00,433.887,8.239,,,,,,,,,,,
01/01/2019 10:00,01/01/2019 10:00,394.667,7.957,,,,,,,,,,,
01/01/2019 11:00,01/01/2019 11:00,359.629,7.694,,,,,,,,,,,
01/01/2019 12:00,01/01/2019 12:00,349.927,7.615,,,,,,,,,,,
01/01/2019 13:00,01/01/2019 13:00,365.404,7.734,,,,,,,,,,,
01/01/2019 14:00,01/01/2019 14:00,384.299,7.874,,,,,,,,,,,
01/01/2019 15:00,01/01/2019 15:00,422.152,8.161,,,,,,,,,,,
01/01/2019 16:00,01/01/2019 16:00,445.12,8.321,,,,,,,,,,,
01/01/2019 17:00,01/01/2019 17:00,426.065,8.19,,,,,,,,,,,
01/01/2019 18:00,01/01/2019 18:00,389.073,7.913,,,,,,,,,,,
01/01/2019 19:00,01/01/2019 19:00,339.506,7.53,,,,,,,,,,,
01/01/2019 20:00,01/01/2019 20:00,277.77,7.047,,,,,,,,,,,
01/01/2019 21:00,01/01/2019 21:00,222.223,6.563,,,,,,,,,,,
01/01/2019 22:00,01/01/2019 22:00,182.481,6.17,,,,,,,,,,,
01/01/2019 23:00,01/01/2019 23:00,155.692,5.895,,,,,,,,,,,
02/01/2019 00:00,02/01/2019 00:00,140.426,5.718,,,,,,,,,,,
02/01/2019 01:00,02/01/2019 01:00,135.788,5.665,,,,,,,,,,,
